year,team,ishome,week,pts,ptsallowed
2009,PIT,1,1,13,10
2009,TEN,0,1,10,13
2009,ATL,1,1,19,7
2009,MIA,0,1,7,19
2009,BAL,1,1,38,24
2009,KC,0,1,24,38
2009,CAR,1,1,10,38
2009,PHI,0,1,38,10
2009,CIN,1,1,7,12
2009,DEN,0,1,12,7
2009,CLE,1,1,20,34
2009,MIN,0,1,34,20
2009,HOU,1,1,7,24
2009,NYJ,0,1,24,7
2009,IND,1,1,14,12
2009,JAC,0,1,12,14
2009,NO,1,1,45,27
2009,DET,0,1,27,45
2009,TB,1,1,21,34
2009,DAL,0,1,34,21
2009,ARI,1,1,16,20
2009,SF,0,1,20,16
2009,NYG,1,1,23,17
2009,WAS,0,1,17,23
2009,SEA,1,1,28,0
2009,STL,0,1,0,28
2009,GB,1,1,21,15
2009,CHI,0,1,15,21
2009,NE,1,1,25,24
2009,BUF,0,1,24,25
2009,OAK,1,1,20,24
2009,SD,0,1,24,20
2009,ATL,1,2,28,20
2009,CAR,0,2,20,28
2009,DET,1,2,13,27
2009,MIN,0,2,27,13
2009,GB,1,2,24,31
2009,CIN,0,2,31,24
2009,JAC,1,2,17,31
2009,ARI,0,2,31,17
2009,KC,1,2,10,13
2009,OAK,0,2,13,10
2009,NYJ,1,2,16,9
2009,NE,0,2,9,16
2009,PHI,1,2,22,48
2009,NO,0,2,48,22
2009,TEN,1,2,31,34
2009,HOU,0,2,34,31
2009,WAS,1,2,9,7
2009,STL,0,2,7,9
2009,BUF,1,2,33,20
2009,TB,0,2,20,33
2009,SF,1,2,23,10
2009,SEA,0,2,10,23
2009,CHI,1,2,17,14
2009,PIT,0,2,14,17
2009,DEN,1,2,27,6
2009,CLE,0,2,6,27
2009,SD,1,2,26,31
2009,BAL,0,2,31,26
2009,DAL,1,2,31,33
2009,NYG,0,2,33,31
2009,MIA,1,2,23,27
2009,IND,0,2,27,23
2009,BAL,1,3,34,3
2009,CLE,0,3,3,34
2009,CIN,1,3,23,20
2009,PIT,0,3,20,23
2009,DET,1,3,19,14
2009,WAS,0,3,14,19
2009,HOU,1,3,24,31
2009,JAC,0,3,31,24
2009,MIN,1,3,27,24
2009,SF,0,3,24,27
2009,NE,1,3,26,10
2009,ATL,0,3,10,26
2009,PHI,1,3,34,14
2009,KC,0,3,14,34
2009,STL,1,3,17,36
2009,GB,0,3,36,17
2009,TB,1,3,0,24
2009,NYG,0,3,24,0
2009,BUF,1,3,7,27
2009,NO,0,3,27,7
2009,SEA,1,3,19,25
2009,CHI,0,3,25,19
2009,NYJ,1,3,24,17
2009,TEN,0,3,17,24
2009,OAK,1,3,3,23
2009,DEN,0,3,23,3
2009,SD,1,3,23,13
2009,MIA,0,3,13,23
2009,ARI,1,3,10,31
2009,IND,0,3,31,10
2009,DAL,1,3,21,7
2009,CAR,0,3,7,21
2009,CHI,1,4,48,24
2009,DET,0,4,24,48
2009,CLE,1,4,20,23
2009,CIN,0,4,23,20
2009,HOU,1,4,29,6
2009,OAK,0,4,6,29
2009,IND,1,4,34,17
2009,SEA,0,4,17,34
2009,JAC,1,4,37,17
2009,TEN,0,4,17,37
2009,KC,1,4,16,27
2009,NYG,0,4,27,16
2009,NE,1,4,27,21
2009,BAL,0,4,21,27
2009,WAS,1,4,16,13
2009,TB,0,4,13,16
2009,MIA,1,4,38,10
2009,BUF,0,4,10,38
2009,NO,1,4,24,10
2009,NYJ,0,4,10,24
2009,DEN,1,4,17,10
2009,DAL,0,4,10,17
2009,SF,1,4,35,0
2009,STL,0,4,0,35
2009,PIT,1,4,38,28
2009,SD,0,4,28,38
2009,MIN,1,4,30,23
2009,GB,0,4,23,30
2009,BAL,1,5,14,17
2009,CIN,0,5,17,14
2009,BUF,1,5,3,6
2009,CLE,0,5,6,3
2009,CAR,1,5,20,17
2009,WAS,0,5,17,20
2009,DET,1,5,20,28
2009,PIT,0,5,28,20
2009,KC,1,5,20,26
2009,DAL,0,5,26,20
2009,NYG,1,5,44,7
2009,OAK,0,5,7,44
2009,PHI,1,5,33,14
2009,TB,0,5,14,33
2009,STL,1,5,10,38
2009,MIN,0,5,38,10
2009,SF,1,5,10,45
2009,ATL,0,5,45,10
2009,ARI,1,5,28,21
2009,HOU,0,5,21,28
2009,DEN,1,5,20,17
2009,NE,0,5,17,20
2009,SEA,1,5,41,0
2009,JAC,0,5,0,41
2009,TEN,1,5,9,31
2009,IND,0,5,31,9
2009,MIA,1,5,31,27
2009,NYJ,0,5,27,31
2009,CIN,1,6,17,28
2009,HOU,0,6,28,17
2009,GB,1,6,26,0
2009,DET,0,6,0,26
2009,JAC,1,6,23,20
2009,STL,0,6,20,23
2009,MIN,1,6,33,31
2009,BAL,0,6,31,33
2009,NO,1,6,48,27
2009,NYG,0,6,27,48
2009,PIT,1,6,27,14
2009,CLE,0,6,14,27
2009,TB,1,6,21,28
2009,CAR,0,6,28,21
2009,WAS,1,6,6,14
2009,KC,0,6,14,6
2009,OAK,1,6,13,9
2009,PHI,0,6,9,13
2009,SEA,1,6,3,27
2009,ARI,0,6,27,3
2009,NE,1,6,59,0
2009,TEN,0,6,0,59
2009,NYJ,1,6,13,16
2009,BUF,0,6,16,13
2009,ATL,1,6,21,14
2009,CHI,0,6,14,21
2009,SD,1,6,23,34
2009,DEN,0,6,34,23
2009,CIN,1,7,45,10
2009,CHI,0,7,10,45
2009,CLE,1,7,3,31
2009,GB,0,7,31,3
2009,HOU,1,7,24,21
2009,SF,0,7,21,24
2009,KC,1,7,7,37
2009,SD,0,7,37,7
2009,PIT,1,7,27,17
2009,MIN,0,7,17,27
2009,STL,1,7,6,42
2009,IND,0,7,42,6
2009,TB,1,7,7,35
2009,NE,0,7,35,7
2009,CAR,1,7,9,20
2009,BUF,0,7,20,9
2009,OAK,1,7,0,38
2009,NYJ,0,7,38,0
2009,DAL,1,7,37,21
2009,ATL,0,7,21,37
2009,MIA,1,7,34,46
2009,NO,0,7,46,34
2009,NYG,1,7,17,24
2009,ARI,0,7,24,17
2009,WAS,1,7,17,27
2009,PHI,0,7,27,17
2009,BAL,1,8,30,7
2009,DEN,0,8,7,30
2009,BUF,1,8,10,31
2009,HOU,0,8,31,10
2009,CHI,1,8,30,6
2009,CLE,0,8,6,30
2009,DAL,1,8,38,17
2009,SEA,0,8,17,38
2009,DET,1,8,10,17
2009,STL,0,8,17,10
2009,GB,1,8,26,38
2009,MIN,0,8,38,26
2009,IND,1,8,18,14
2009,SF,0,8,14,18
2009,NYJ,1,8,25,30
2009,MIA,0,8,30,25
2009,SD,1,8,24,16
2009,OAK,0,8,16,24
2009,TEN,1,8,30,13
2009,JAC,0,8,13,30
2009,ARI,1,8,21,34
2009,CAR,0,8,34,21
2009,PHI,1,8,40,17
2009,NYG,0,8,17,40
2009,NO,1,8,35,27
2009,ATL,0,8,27,35
2009,ATL,1,9,31,17
2009,WAS,0,9,17,31
2009,CHI,1,9,21,41
2009,ARI,0,9,41,21
2009,CIN,1,9,17,7
2009,BAL,0,9,7,17
2009,IND,1,9,20,17
2009,HOU,0,9,17,20
2009,JAC,1,9,24,21
2009,KC,0,9,21,24
2009,NE,1,9,27,17
2009,MIA,0,9,17,27
2009,TB,1,9,38,28
2009,GB,0,9,28,38
2009,NO,1,9,30,20
2009,CAR,0,9,20,30
2009,SEA,1,9,32,20
2009,DET,0,9,20,32
2009,NYG,1,9,20,21
2009,SD,0,9,21,20
2009,SF,1,9,27,34
2009,TEN,0,9,34,27
2009,PHI,1,9,16,20
2009,DAL,0,9,20,16
2009,DEN,1,9,10,28
2009,PIT,0,9,28,10
2009,SF,1,10,10,6
2009,CHI,0,10,6,10
2009,CAR,1,10,28,19
2009,ATL,0,10,19,28
2009,MIA,1,10,25,23
2009,TB,0,10,23,25
2009,MIN,1,10,27,10
2009,DET,0,10,10,27
2009,NYJ,1,10,22,24
2009,JAC,0,10,24,22
2009,PIT,1,10,12,18
2009,CIN,0,10,18,12
2009,STL,1,10,23,28
2009,NO,0,10,28,23
2009,TEN,1,10,41,17
2009,BUF,0,10,17,41
2009,WAS,1,10,27,17
2009,DEN,0,10,17,27
2009,OAK,1,10,10,16
2009,KC,0,10,16,10
2009,ARI,1,10,31,20
2009,SEA,0,10,20,31
2009,GB,1,10,17,7
2009,DAL,0,10,7,17
2009,SD,1,10,31,23
2009,PHI,0,10,23,31
2009,IND,1,10,35,34
2009,NE,0,10,34,35
2009,CLE,1,10,0,16
2009,BAL,0,10,16,0
2009,CAR,1,11,17,24
2009,MIA,0,11,24,17
2009,BAL,1,11,15,17
2009,IND,0,11,17,15
2009,DAL,1,11,7,6
2009,WAS,0,11,6,7
2009,DET,1,11,38,37
2009,CLE,0,11,37,38
2009,GB,1,11,30,24
2009,SF,0,11,24,30
2009,JAC,1,11,18,15
2009,BUF,0,11,15,18
2009,KC,1,11,27,24
2009,PIT,0,11,24,27
2009,MIN,1,11,35,9
2009,SEA,0,11,9,35
2009,NYG,1,11,34,31
2009,ATL,0,11,31,34
2009,TB,1,11,7,38
2009,NO,0,11,38,7
2009,STL,1,11,13,21
2009,ARI,0,11,21,13
2009,DEN,1,11,3,32
2009,SD,0,11,32,3
2009,NE,1,11,31,14
